ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,AML,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,AML,AML,AML,AML,AML,ALL,ALL,AML,AML,ALL,AML,AML,AML,AML,AML,AML,AML,ALL,ALL,ALL,ALL,ALL,ALL
0.561549117,-0.623141166,-0.814523716,0.229492381,-0.706015947,-0.314778617,-0.089514192,-0.623684786,-0.816459683,2.043909664,-0.425077798,0.073159624,-0.586642418,-0.668416515,-0.632940572,1.000113307,-1.002407089,-0.286922216,-0.346785596,1.002721648,0.003841045,-0.138774017,-0.302396548,-0.83867305,-0.367514069,-0.430646675,2.516349512,-0.73269118,-0.034454601,1.616028196,-0.392025107,-0.772688882,-0.838850131,-0.577849294,-0.361472045,-0.689056415,-0.572561092,-0.545116689,-0.384930281,2.232602716,-0.212082418,-0.430797444,-0.323010843,-0.05396018,-0.032355385,-0.1576981,-0.483925623,-0.831972972,3.11751756,-0.505172446,-0.388848007,2.768201282,-0.858113933,-0.606043889,2.462996288,0.616690794,-0.022678937,-0.382517064,2.444390339,1.691717935,1.308018183,-0.570998673,-0.8077253,-0.940462075,-0.207155179,0.062534916,-0.294148595,-0.047171858,-0.812292119,0.013515809,-0.35338971,-0.525819181
0.213566469,-0.912107005,-1.084069278,-0.965718987,0.660883502,0.541181582,-0.916501646,-0.912595462,1.564483727,0.449957179,1.443449545,-0.28646237,0.548776398,-0.735544268,-0.92091203,-0.955368778,-0.360955595,-0.610005405,-0.663794233,1.11777443,-0.348746942,-0.476890339,-0.623909501,-1.105768092,-0.682419312,-0.739145626,1.583565617,-1.010540584,2.606935667,0.034447189,-0.704443127,-0.071977554,0.824359836,-0.871411063,1.01461213,-0.971333596,1.253959289,2.168451624,-0.698068239,0.138630333,-0.542759872,2.077918683,-0.64243199,-0.400682868,-0.38127039,-0.493894127,-0.787018166,-0.317579835,-0.85159618,-0.806108997,1.30768186,1.501671315,-1.123236238,-0.896744651,-0.49000067,0.02854516,-0.372575845,0.964838217,0.241615797,0.607399291,0.559320795,-0.8652556,-1.077960722,-0.429690478,-0.538332618,-0.29600895,0.68470298,2.642168666,-1.082064129,1.817207189,0.06348945,1.36230744
-0.636584194,-0.465296101,-0.583126554,-0.525059929,-0.54830598,-0.156430876,-0.470195016,-0.465840607,-0.658929756,-0.141056787,-0.26690986,0.232139762,-0.428737855,-0.510645256,2.899623653,-0.513522058,-0.845180284,-0.128529064,-0.188490031,-0.897682869,0.162708184,0.019860639,-0.144028622,-0.681179335,-0.209252294,-0.272487816,-0.207490565,-0.575024698,0.12435011,-0.329109369,-0.233803289,-0.615087602,4.848568144,-0.419930396,-0.203200421,0.856071188,4.32101149,1.028630565,-0.226696897,-0.290438936,-0.053567267,-0.272638831,-0.164676522,0.104812735,0.126452748,0.610396176,-0.325853616,-0.674468334,-0.397841803,0.152158022,-0.23062101,0.281860937,-0.700651908,0.514055651,-0.07734459,-0.372077736,0.136144971,-0.224279746,0.047595982,0.022313615,-0.207182731,-0.413068608,-0.650181135,-0.78313429,-0.048631995,0.221497735,-0.135767223,-0.524361675,2.774871689,0.17239872,-0.19510491,-0.367815467
0.34712398,-0.734344627,1.785912462,-0.188015918,-0.702839796,0.446233981,-1.026895082,0.86089246,-0.275778828,0.194809226,-0.819088532,-0.308939226,0.389219668,0.177846399,2.935375692,-0.799111709,0.396926225,-0.677629919,-0.252471226,1.209579304,-0.379915076,-0.525939786,-0.693474212,-0.452576788,0.557611921,-0.82479055,-0.758347653,-0.582088298,-0.419126297,-0.332921345,-0.785245615,-0.768357917,4.139256839,0.225747163,-0.753962089,0.420345761,2.993525975,0.958738183,-0.171994915,-0.843140933,-0.601000848,0.496906446,-0.714581355,0.031506594,-0.416976893,0.621546018,0.652360904,-1.235711775,-0.952932616,0.084854745,-0.03765752,-0.258112171,1.163729395,0.489315669,-0.625307019,-0.926595513,-0.407069099,0.794608267,-0.497587563,-0.523432251,-0.758032973,-0.729147954,-0.05681588,-1.34679464,-0.595955808,-0.31981795,1.010086225,0.081749203,2.208581651,0.429806365,-0.101432114,-0.922238445
0.545508929,-0.539898208,1.445063581,-0.534602564,-0.285707195,-0.204270998,-0.634510931,0.077930015,0.127314121,0.507366237,-1.186584513,-1.679731661,0.576773811,1.85373935,1.879104992,0.320799386,0.060843565,0.400633285,-0.357125113,1.934340818,0.033051903,-1.889306139,0.626496712,0.206485149,0.879667505,0.027659104,0.155755503,0.164191124,-1.271277808,-0.593765352,-0.983114006,-0.270606264,3.06513523,-0.656097775,-0.327706823,0.139299401,1.48055905,0.540701027,-1.10669254,-0.429816419,-1.813341366,0.100305807,-0.570583964,-0.430402519,-0.320778932,-0.45971827,2.340521568,-0.035899134,0.228180601,-0.277250436,-0.814364958,-0.808853295,0.320574957,0.620201117,-2.173637831,0.683613114,-0.240095468,0.357756408,-1.790144508,-0.105089087,-0.594073186,1.548905839,-0.015337317,-0.664692902,-0.936763761,-0.345593027,1.384282277,0.16904264,1.540095279,-0.508952146,0.414814378,-0.900327363
1.720234943,0.000112247,1.099342014,1.177446527,0.428307284,1.189380283,1.85273538,1.031451959,1.449420062,-0.863355644,0.211451361,1.798200072,-0.94301527,0.247139329,1.257195925,-0.966492234,-1.058329248,0.35671293,-0.876490031,-1.072867348,-0.779242344,2.043708505,2.045553949,-1.012916964,1.271039524,-0.899749234,1.559875482,0.290426967,0.038274975,-0.915427887,1.506425103,1.10775502,0.279438661,-0.0617136,0.89675495,-0.0945051,0.643398846,0.201634559,-0.887069611,-0.904719945,-0.817010144,-0.89979105,-0.235574164,-0.352906428,-0.789281567,-0.208089761,-0.914526361,0.382276928,1.476743916,-0.920419251,0.743985648,-0.746248641,0.367818357,-0.948396345,-0.845713574,-0.927325938,-0.786597766,-0.886400295,-0.811117208,-0.818117961,-0.881666088,-0.938676416,0.872184127,-1.041148553,-0.816043607,0.225464283,-0.829934711,-0.969493752,-1.005600108,1.758551447,-0.878321708,-0.926145705
1.855733316,-0.717582533,1.111595335,1.057922482,1.144896622,1.27185469,2.013271905,0.803186181,1.482711398,-0.699817891,-0.622172366,1.751104604,-0.785909461,0.235011369,1.603994366,-0.811282021,-0.910534216,0.689865764,-0.714012786,-0.926246164,-0.608913045,2.332964322,2.443965303,-0.861455216,1.237046423,-0.739150002,1.505265811,0.104710783,-0.6203921,-0.756094594,1.370890311,0.842115382,-0.861508295,-0.783273737,1.0685843,-0.675158576,0.743276281,0.178736084,-0.72544659,-0.744522063,-0.673635737,-0.739195195,-0.706886344,-0.626238864,-0.619762864,-0.65733413,-0.755120276,0.177966392,1.527578553,-0.761488975,-0.280414964,-0.573255337,0.244959651,-0.791725019,-0.68075135,-0.768953328,-0.616862365,-0.724723233,-0.643361576,-0.650927589,-0.719606772,-0.781220275,0.866694891,-0.891966303,-0.672158805,0.36984789,-0.698234934,-0.81452589,-0.853547576,1.713289106,-0.715992358,-0.767677799
1.800898906,0.733660606,1.178676098,1.126832141,-0.180164381,1.196414876,2.274837203,0.687043906,1.86304061,-0.761858664,0.844527475,1.929801085,-0.850921237,0.935110437,1.075992666,-0.8771694,-0.979846769,-0.113206877,-0.776543421,-0.996100933,-0.667816708,2.19643081,1.849297632,-0.929074061,1.53623386,-0.802548118,1.246125403,0.919176038,-0.679691903,-0.820077465,1.20263962,0.646335475,-0.301609216,-0.768592551,0.64036589,-0.882679056,0.394842407,0.9477431,-0.788371804,-0.808105567,-0.734772968,-0.80259487,-0.769171047,-0.110886983,-0.679040952,0.0459527,-0.819069523,-0.178150174,1.274988308,-0.825658005,0.195400838,-0.630928459,0.474017035,-0.856937489,-0.742134139,-0.833379951,-0.676040357,-0.787623483,-0.703454051,-0.711281166,-0.782330455,-0.846070228,0.454609792,-0.960638081,-0.620362511,-0.482860996,-0.760221079,-0.880525214,-0.920893531,2.039060641,-0.778591308,-0.832060404
0.109674775,0.018899509,-0.193477159,0.289005757,0.194169286,0.701939462,-0.088020147,-0.841562932,-0.456380884,0.637291342,0.367594758,1.442442783,-0.475119605,0.349505436,0.005909353,-0.110140347,-0.6482847,1.065808487,0.524551161,-1.330916562,-6.504277793,0.783272994,1.03880753,-0.272909053,0.648708852,-0.924501032,-0.083212645,0.138792037,0.873599633,-0.307536989,0.322094628,-0.046111098,-0.377638172,0.344101551,0.345376004,-0.437038413,-0.116467733,0.301649905,-0.978086567,0.203235667,0.193426318,0.362214535,0.474630826,0.912673967,0.839682677,1.212264258,-0.208565191,-0.362026234,-0.724854103,0.151969547,0.651078735,0.588209864,-0.16360418,-0.203381962,0.821269819,-0.02285649,1.601702051,0.207153998,0.110394722,1.081291395,0.26944255,-1.210263827,-0.711002084,-1.272270489,0.06638946,-0.236657884,0.061917518,-0.219941249,-0.112483305,0.758829162,-0.693593041,-0.737790439
-0.288622115,-0.159572898,-0.116154698,-0.085842156,0.251461261,0.649070547,0.036994471,-1.615623917,-0.378587539,0.593822104,0.363338741,1.281906504,-0.412024495,-0.101469788,-0.117140521,0.226025594,-0.775244958,0.960033909,0.679004335,-1.316153878,-6.405983853,0.418357575,0.936958825,-0.321664433,0.600888447,-0.372372534,-0.444446338,-0.183053015,0.917930562,-0.36485121,0.293525518,-0.33398357,-0.487710703,0.140555698,-0.269991164,-0.324302744,-0.132806657,0.219661743,-1.068567615,0.144986864,0.878673984,0.255514652,0.818996637,0.829164772,0.656106054,1.085195371,0.192214196,-0.687664154,-0.565723594,-0.003163221,0.605604844,0.525557129,-0.247411555,0.321646094,0.957010732,-0.118845937,1.490126126,0.505821797,0.46917189,1.061579616,0.346011532,-0.509459992,-0.586391443,-1.638506502,0.6516821,0.383600852,0.385234949,-0.172417034,-0.241119211,0.845980049,-0.646557889,-0.48598474
